Title,Duration,Date,Time,Location,ImageURL,Description,StartDatetime,EndDatetime,Start,End
La Piedad,80,13/09,19h45,Salle 300,https://www.etrangefestival.com/images/movies/ba809464e860dda6437e01131567f1b118750b56.jpg,13/09 - 19h45 - Salle 300 - 80 min,2023-09-13 19:45:00,2023-09-13 21:05:00,2023-09-13T19:45:00,2023-09-13T21:05:00
Luminous Procuress,123,11/09,21h15,Salle 100,https://www.etrangefestival.com/images/programs/7d7cee10bb6fc201f00d3b7d77fa30e2d5fabc9b.jpg,11/09 - 21h15 - Salle 100 - 123 min,2023-09-11 21:15:00,2023-09-11 23:18:00,2023-09-11T21:15:00,2023-09-11T23:18:00
Luminous Procuress,123,15/09,21h15,Salle 100,https://www.etrangefestival.com/images/programs/7d7cee10bb6fc201f00d3b7d77fa30e2d5fabc9b.jpg,15/09 - 21h15 - Salle 100 - 123 min,2023-09-15 21:15:00,2023-09-15 23:18:00,2023-09-15T21:15:00,2023-09-15T23:18:00
Immunité collective,94,11/09,22h00,Salle 500,https://www.etrangefestival.com/images/movies/cbc8073b83599b20357e75ee34f392fb3500f8b9.jpg,11/09 - 22h00 - Salle 500 - 94 min,2023-09-11 22:00:00,2023-09-11 23:34:00,2023-09-11T22:00:00,2023-09-11T23:34:00
Immunité collective,94,13/09,14h15,Salle 500,https://www.etrangefestival.com/images/movies/cbc8073b83599b20357e75ee34f392fb3500f8b9.jpg,13/09 - 14h15 - Salle 500 - 94 min,2023-09-13 14:15:00,2023-09-13 15:49:00,2023-09-13T14:15:00,2023-09-13T15:49:00
L'enfant de la haute mer + Le voyageur du silence + Le puits et le pendule,94,12/09,14h00,Salle 100,https://www.etrangefestival.com/images/programs/6d817f34d15103ab73000dfa2edbe10026ad2669.jpg,12/09 - 14h00 - Salle 100 - 94 min,2023-09-12 14:00:00,2023-09-12 15:34:00,2023-09-12T14:00:00,2023-09-12T15:34:00
Fleur pâle,96,12/09,14h15,Salle 500,https://www.etrangefestival.com/images/movies/98c0260390853cf985b776d848c728af1b15cffa.jpg,12/09 - 14h15 - Salle 500 - 96 min,2023-09-12 14:15:00,2023-09-12 15:51:00,2023-09-12T14:15:00,2023-09-12T15:51:00
Fleur pâle,96,18/09,18h00,Salle 500,https://www.etrangefestival.com/images/movies/98c0260390853cf985b776d848c728af1b15cffa.jpg,18/09 - 18h00 - Salle 500 - 96 min,2023-09-18 18:00:00,2023-09-18 19:36:00,2023-09-18T18:00:00,2023-09-18T19:36:00
Le cocher,120,12/09,16h00,Salle 100,https://www.etrangefestival.com/images/movies/881d5547c6b289a68b1d8b711f44431709916762.jpg,12/09 - 16h00 - Salle 100 - 120 min,2023-09-12 16:00:00,2023-09-12 18:00:00,2023-09-12T16:00:00,2023-09-12T18:00:00
Inu-Oh,98,12/09,16h45,Salle 500,https://www.etrangefestival.com/images/movies/5f6131775ad17541d967e5e6fdf1e0434c07fb46.jpg,12/09 - 16h45 - Salle 500 - 98 min,2023-09-12 16:45:00,2023-09-12 18:23:00,2023-09-12T16:45:00,2023-09-12T18:23:00
Inu-Oh,98,14/09,16h15,Salle 500,https://www.etrangefestival.com/images/movies/5f6131775ad17541d967e5e6fdf1e0434c07fb46.jpg,14/09 - 16h15 - Salle 500 - 98 min,2023-09-14 16:15:00,2023-09-14 17:53:00,2023-09-14T16:15:00,2023-09-14T17:53:00
Un chien andalou + In the shadow of the sun,67,12/09,18h15,Salle 100,https://www.etrangefestival.com/images/programs/e0d4d7ecbbd5073381c2695d5471ae2964267920.jpg,12/09 - 18h15 - Salle 100 - 67 min,2023-09-12 18:15:00,2023-09-12 19:22:00,2023-09-12T18:15:00,2023-09-12T19:22:00
